id	strong	ml	api	lst	cats	published	title
2601.18091	18	8	1	1	cs.LG	2026-01-26	From LLMs to LRMs: Rethinking Pruning for Reasoning-Centric Models
2601.19675	18	8	1	1	cs.LG	2026-01-27	LoPRo: Enhancing Low-Rank Quantization via Permuted Block-Wise Rotation
2601.09694	16	9	1	1	cs.CL,cs.AI,cs.CV	2026-01-14	LLMs can Compress LLMs: Adaptive Pruning by Agents
2601.10765	16	8	1	1	cs.NE	2026-01-14	Pruning as Evolution: Emergent Sparsity Through Selection Dynamics in Neural Networks
2601.16991	16	13	1	1	cs.LG,cs.AI	2026-01-08	Sparsity-Aware Low-Rank Representation for Efficient Fine-Tuning of Large Language Models
2601.06959	15	4	1	1	cs.LG	2026-01-11	HAS-VQ: Hessian-Adaptive Sparse Vector Quantization for High-Fidelity LLM Compression
2601.12042	15	20	0	1	cs.CR,cs.AI	2026-01-17	Less Is More -- Until It Breaks: Security Pitfalls of Vision Token Compression in Large Vision-Language Models
2602.00372	14	10	1	0	cs.LG,cs.AI,cs.CL	2026-01-30	Post-Training Probability Manifold Correction via Structured SVD Pruning and Self-Referential Distillation
2601.00282	13	8	1	1	cs.CL,cs.AI,cs.LG	2026-01-01	Can Large Language Models Still Explain Themselves? Investigating the Impact of Quantization on Self-Explanations
2601.07878	13	9	1	1	cs.LG,cs.AI,cs.CL	2026-01-11	Sliced-Wasserstein Distribution Alignment Loss Improves the Ultra-Low-Bit Quantization of Large Language Models
2601.07892	13	6	1	1	cs.LG,cs.AI	2026-01-12	Sherry: Hardware-Efficient 1.25-Bit Ternary Quantization via Fine-grained Sparsification
2601.09865	13	13	1	1	cs.LG,cs.AI	2026-01-14	Advancing Model Refinement: Muon-Optimized Distillation and Quantization for LLM Deployment
2601.10079	13	7	1	1	cs.LG,cs.AI,cs.CL	2026-01-15	Sparse-RL: Breaking the Memory Wall in LLM Reinforcement Learning via Stable Sparse Rollouts
2601.10155	13	10	1	1	cs.LG,cs.AI	2026-01-15	LOOKAT: Lookup-Optimized Key-Attention for Memory-Efficient Transformers
2601.13563	13	1	1	1	cs.LG,cs.AI	2026-01-20	ButterflyMoE: Compression-Scalable Ternary Experts via Structured Butterfly Orbits
2601.15538	13	4	1	1	cs.LG,cs.AI	2026-01-21	QUAIL: Quantization Aware Unlearning for Mitigating Misinformation in LLMs
2601.20107	13	9	1	1	cs.CV,cs.CL,cs.IR	2026-01-27	Structural Anchor Pruning: Training-Free Multi-Vector Compression for Visual Document Retrieval
2601.21069	13	11	1	1	eess.IV	2026-01-28	CompSRT: Quantization and Pruning for Image Super Resolution Transformers
2601.21626	13	3	1	1	cs.LG,cs.AI	2026-01-29	HeRo-Q: A General Framework for Stable Low Bit Quantization via Hessian Conditioning
2602.11184	13	6	1	0	cs.LG,cs.AI	2026-01-30	KBVQ-MoE: KLT-guided SVD with Bias-Corrected Vector Quantization for MoE Large Language Models
2601.03195	12	3	1	1	cs.LG	2026-01-06	Sparse Knowledge Distillation: A Mathematical Framework for Probability-Domain Temperature Scaling and Multi-Stage Compression
2601.22716	12	9	1	1	cs.LG,cs.AI	2026-01-30	Breaking the Blocks: Continuous Low-Rank Decomposed Scaling for Unified LLM Quantization and Adaptation
2602.02546	12	3	1	0	cs.LG,cs.AI	2026-01-30	D$^2$Quant: Accurate Low-bit Post-Training Weight Quantization for LLMs
2601.00679	11	10	1	1	cs.NE,cs.AI,cs.LG	2026-01-02	QSLM: A Performance- and Memory-aware Quantization Framework with Tiered Search Strategy for Spike-driven Language Models
2601.05684	11	7	1	1	cs.LG	2026-01-09	FLRQ: Faster LLM Quantization with Flexible Low-Rank Matrix Sketching
2601.06558	11	1	1	1	cs.IT,cs.CV	2026-01-10	Robust Sparse Signal Recovery with Outliers: A Hard Thresholding Pursuit Approach Based on LAD
2601.06702	11	3	1	1	cs.CL	2026-01-10	GRASP LoRA: GRPO Guided Adapter Sparsity Policy for Cross Lingual Transfer
